ID	Genome name	Taxonomy	Genome size(Mb)	GC(%)	GenBank accession number	BioProject
Pmi0	Phycisphaera mikurensis NBRC 102666	Bacteria; Planctomycetes; Phycisphaerae; Phycisphaerales; Phycisphaeraceae; Phycisphaera.	3.88	73.23	AP012338	PRJNA157331
Mhy7	Marinithermus hydrothermalis DSM 14884	Bacteria; Deinococcus-Thermus; Deinococci; Thermales; Thermaceae; Marinithermus.	2.27	68.10	CP002630	PRJNA65783
Ype10	Yersinia pestis Pestoides F	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Yersinia.	4.73	47.69	CP000668	PRJNA58619
Ype11	Yersinia pestis biovar Medievalis str. Harbin 35	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Yersinia.	4.71	47.61	CP001608	PRJNA158537
Swa0	Staphylococcus warneri SG1	Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcus.	2.56	32.65	CP003668	PRJNA187059
Sar0	Salinispora arenicola CNS-205	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Micromonosporineae; Micromonosporaceae; Salinispora.	5.79	69.50	CP000850	PRJNA58659
Mno0	Methylobacterium nodulans ORS 2060	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Methylobacteriaceae; Methylobacterium.	8.84	68.48	CP001349	PRJNA59023
Rce0	Rhodospirillum centenum SW	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; Rhodospirillum.	4.36	70.50	CP000613	PRJNA58805
Hpy8	Helicobacter pylori F16	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales; Helicobacteraceae; Helicobacter.	1.58	38.90	AP011940	PRJNA161145
Neu0	Nitrosomonas eutropha C91	Bacteria; Proteobacteria; Betaproteobacteria; Nitrosomonadales; Nitrosomonadaceae; Nitrosomonas.	2.78	48.55	CP000450	PRJNA58363
Neu1	Nitrosomonas europaea ATCC 19718	Bacteria; Proteobacteria; Betaproteobacteria; Nitrosomonadales; Nitrosomonadaceae; Nitrosomonas.	2.81	50.70	AL954747	PRJNA57647
Mga11	Mycoplasma gallisepticum VA94_7994-1-7P	Bacteria; Tenericutes; Mollicutes; Mycoplasmataceae; Mycoplasma.	0.96	31.60	CP003506	PRJNA172624
Mga10	Mycoplasma gallisepticum CA06_2006.052-5-2P	Bacteria; Tenericutes; Mollicutes; Mycoplasmataceae; Mycoplasma.	0.98	31.60	CP003512	PRJNA172630
Mfu0	Myxococcus fulvus HW-1	Bacteria; Proteobacteria; Deltaproteobacteria; Myxococcales; Cystobacterineae; Myxococcaceae; Myxococcus.	9.0	70.60	CP002830	PRJNA68443
Sch0	Sphingobium chlorophenolicum L-1	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Sphingobium.	4.57	63.83	CP002798,CP002799	PRJNA52597
Sch1	Spiroplasma chrysopicola DF-1	Bacteria; Tenericutes; Mollicutes; Entomoplasmatales; Spiroplasmataceae; Spiroplasma.	1.12	28.80	CP005077	PRJNA205053
Bap12	Buchnera aphidicola str. LL01 (Acyrthosiphon pisum)	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Buchnera.	0.64	26.30	CP002300	PRJNA158843
Bap11	Buchnera aphidicola str. Ua (Uroleucon ambrosiae)	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Buchnera.	0.63	24.14	CP002648	PRJNA158535
Bap10	Buchnera aphidicola str. Bp (Baizongia pistaciae)	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Buchnera.	0.62	25.3	AE016826	PRJNA57827
Bth14	Bacillus thuringiensis BMB171	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group.	5.64	35.19	CP001903	PRJNA49135
Bth15	Bacillus thuringiensis YBT-1518	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group.	6.67	35.29	CP005935	PRJNA229419
BBl0	Blattabacterium sp. (Blaberus giganteus) BGIGA	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Blattabacteriaceae; Blattabacterium.	0.63	25.73	CP003535	PRJNA165873
Bth11	Bacillus thuringiensis MC28	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group.	6.69	34.92	CP003687	PRJNA176369
Bth12	Bacillus thuringiensis serovar thuringiensis str. IS5056	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group.	6.77	34.91	CP004123	PRJNA190186
Bth13	Bacillus thuringiensis serovar chinensis CT-43	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group.	6.15	35.12	CP001907	PRJNA158151
Nme4	Neisseria meningitidis WUE 2594	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Neisseriaceae; Neisseria.	2.23	51.80	FR774048	PRJEA162093
Nme5	Neisseria meningitidis M01-240355	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Neisseriaceae; Neisseria.	2.29	51.50	CP002422	PRJNA162075
Nme6	Neisseria meningitidis MC58	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Neisseriaceae; Neisseria.	2.27	51.50	AE002098	PRJNA57817
Nme7	Neisseria meningitidis alpha14	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Neisseriaceae; Neisseria.	2.15	51.90	AM889136	PRJNA61649
Nme0	Neisseria meningitidis M01-240149	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Neisseriaceae; Neisseria.	2.22	51.40	CP002421	PRJNA162079
Nme1	Neisseria meningitidis alpha710	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Neisseriaceae; Neisseria.	2.24	51.70	CP001561	PRJNA161971
Nme2	Neisseria meningitidis G2136	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Neisseriaceae; Neisseria.	2.18	51.70	CP002419	PRJNA162085
Nme3	Neisseria meningitidis NZ-05/33	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Neisseriaceae; Neisseria.	2.25	51.30	CP002424	PRJNA162077
Nme8	Neisseria meningitidis M04-240196	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Neisseriaceae; Neisseria.	2.25	51.40	CP002423	PRJNA162081
Nme9	Neisseria meningitidis H44/76	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Neisseriaceae; Neisseria.	2.24	51.40	CP002420	PRJNA162083
Bci0	Baumannia cicadellinicola str. Hc (Homalodisca coagulata)	Bacteria; Proteobacteria; Gammaproteobacteria; Candidatus Baumannia.	0.69	33.20	CP000238	PRJNA58111
Hch0	Hahella chejuensis KCTC 2396	Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Hahellaceae; Hahella.	7.22	53.90	CP000155	PRJNA58483
Tol0	Thalassolituus oleivorans MIL-1	Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Thalassolituus.	3.92	46.60	HF680312	PRJNA195604
Mpe0	Methanolacinia petrolearia DSM 11571	Archaea; Euryarchaeota; Methanomicrobia; Methanomicrobiales; Methanomicrobiaceae; Methanolacinia.	2.84	47.40	CP002117	PRJNA52695
Mpe1	Mycoplasma penetrans HF-2	Bacteria; Tenericutes; Mollicutes; Mycoplasmataceae; Mycoplasma.	1.36	25.70	BA000026	PRJNA57729
Bme0	Bacillus megaterium QM B1551	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus.	5.52	37.97	CP001983	PRJNA15862
Bme1	Brucella melitensis M28	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella.	3.31	57.24	CP002459,CP002460	PRJNA158857
Bme2	Brucella melitensis M5-90	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella.	3.31	57.24	CP001851,CP001852	PRJNA158855
Bme3	Bacillus megaterium DSM 319	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus.	5.1	38.10	CP001982	PRJNA48371
Bme4	Brucella melitensis NI	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella.	3.29	57.24	CP002931,CP002932	PRJNA158853
Bme5	Bacillus megaterium WSH-002	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus.	5.08	38.15	CP003017	PRJNA159841
Bme6	Brucella melitensis ATCC 23457	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella.	3.31	57.24	CP001488,CP001489	PRJNA59241
Pat1	Pseudoalteromonas atlantica T6c	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Pseudoalteromonadaceae; Pseudoalteromonas.	5.19	44.60	CP000388	PRJNA58283
Ppr3	Pseudomonas protegens Pf-5	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas.	7.07	63.30	CP000076	PRJNA57937
Ppr0	Pseudomonas protegens CHA0	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas.	6.87	63.40	CP003190	PRJNA203393
Ppr1	Pelobacter propionicus DSM 2379	Bacteria; Proteobacteria; Deltaproteobacteria; Desulfuromonadales; Pelobacteraceae; Pelobacter.	4.24	58.46	CP000482	PRJNA58255
Dor0	Desulfosporosinus orientis DSM 765	Bacteria; Firmicutes; Clostridia; Clostridiales; Peptococcaceae; Desulfosporosinus.	5.86	42.90	CP003108	PRJNA82939
Ppr4	Propionibacterium propionicum F0230a	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Propionibacterineae; Propionibacteriaceae; Propionibacterium.	3.45	66.10	CP002734	PRJNA170533
Dre1	Desulfotomaculum reducens MI-1	Bacteria; Firmicutes; Clostridia; Clostridiales; Peptococcaceae; Desulfotomaculum.	3.61	42.30	CP000612	PRJNA58277
Dre0	Desulfohalobium retbaense DSM 5692	Bacteria; Proteobacteria; Deltaproteobacteria; Desulfovibrionales; Desulfohalobiaceae; Desulfohalobium.	2.91	57.29	CP001734	PRJNA59183
Cst2	Cyanobacterium stanieri PCC 7202	Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales; Cyanobacterium.	3.16	38.70	CP003940	PRJNA183337
Cst0	Clostridium sticklandii DSM 519	Bacteria; Firmicutes; Clostridia; Clostridiales; Peptostreptococcaceae; Peptoclostridium.	2.72	33.30	FP565809	PRJNA59585
Cst1	Clostridium stercorarium subsp. stercorarium DSM 8532	Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminiclostridium.	2.97	42.30	CP004044,CP003992	PRJNA195569
Aho0	Acidianus hospitalis W1	Archaea; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus.	2.14	34.10	CP002535	PRJNA66875
EAT0	Exiguobacterium sp. AT1b	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillales Family XII. Incertae Sedis; Exiguobacterium.	3.0	48.50	CP001615	PRJNA59093
Pmu2	Paenibacillus mucilaginosus KNP414	Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Paenibacillus.	8.66	58.40	CP002869	PRJNA68311
Pmu3	Pasteurella multocida subsp. multocida str. Pm70	Bacteria; Proteobacteria; Gammaproteobacteria; Pasteurellales; Pasteurellaceae; Pasteurella.	2.26	40.40	AE004439	PRJNA57627
Pmu0	Pasteurella multocida subsp. multocida str. HN06	Bacteria; Proteobacteria; Gammaproteobacteria; Pasteurellales; Pasteurellaceae; Pasteurella.	2.41	40.22	CP003313	PRJNA156881
Pmu1	Paenibacillus mucilaginosus K02	Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Paenibacillus.	8.82	58.30	CP003422	PRJNA162117
Pmu6	Pasteurella multocida 36950	Bacteria; Proteobacteria; Gammaproteobacteria; Pasteurellales; Pasteurellaceae; Pasteurella.	2.35	40.40	CP003022	PRJNA86887
Pmu4	Paenibacillus mucilaginosus 3016	Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Paenibacillus.	8.74	58.30	CP003235	PRJNA89377
Pmu5	Pasteurella multocida subsp. multocida str. 3480	Bacteria; Proteobacteria; Gammaproteobacteria; Pasteurellales; Pasteurellaceae; Pasteurella.	2.38	40.30	CP001409	PRJNA161955
Nth0	Natranaerobius thermophilus JW/NM-WN-LF	Bacteria; Firmicutes; Clostridia; Natranaerobiales; Natranaerobiaceae; Natranaerobius.	3.19	36.29	CP001034	PRJNA59001
Cur0	Corynebacterium urealyticum DSM 7109	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Corynebacterineae; Corynebacteriaceae; Corynebacterium.	2.37	64.20	AM942444	PRJNA61639
Cur1	Corynebacterium urealyticum DSM 7111	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Corynebacterineae; Corynebacteriaceae; Corynebacterium.	2.32	64.20	CP004085	PRJNA188688
Lxy1	Leifsonia xyli subsp. cynodontis DSM 46306	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Micrococcineae; Microbacteriaceae; Leifsonia.	2.69	68.30	CP006734	PRJNA221294
Hor0	Halothermothrix orenii H 168	Bacteria; Firmicutes; Clostridia; Halanaerobiales; Halanaerobiaceae; Halothermothrix.	2.58	37.90	CP001098	PRJNA58585
Cha0	Corynebacterium halotolerans YIM 70093 = DSM 44683	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Corynebacterineae; Corynebacteriaceae; Corynebacterium.	3.22	68.26	CP003697	PRJNA189953
Sau31	Staphylococcus aureus subsp. aureus USA300_TCH1516	Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcus.	2.9	32.77	CP000730	PRJNA58925
Sau30	Staphylococcus aureus subsp. aureus Z172	Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcus.	3.02	32.8	CP006838	PRJNA225604
Sau33	Staphylococcus aureus subsp. aureus ED133	Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcus.	2.83	32.90	CP001996	PRJNA159689
Sau32	Staphylococcus aureus subsp. aureus ED98	Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcus.	2.85	32.77	CP001781	PRJNA41455
Sau35	Staphylococcus aureus RF122	Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcus.	2.74	32.80	AJ938182	PRJNA57661
Sau34	Staphylococcus aureus subsp. aureus SA40	Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcus.	2.73	32.90	CP003604	PRJNA221289
Sau37	Staphylococcus aureus Bmb9393	Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcus.	2.98	32.9	CP005288	PRJNA210640
Sau36	Staphylococcus aureus subsp. aureus MSHR1132	Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcus.	2.79	32.37	FR821777	PRJNA89393
Cje12	Campylobacter jejuni subsp. doylei 269.97	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales; Campylobacteraceae; Campylobacter.	1.85	30.60	CP000768	PRJNA58671
Xfu0	Xanthomonas fuscans subsp. fuscans 4834-R	Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Xanthomonas.	5.09	64.71	FO681494	PRJNA222814
Cje10	Campylobacter jejuni subsp. jejuni IA3902	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales; Campylobacteraceae; Campylobacter.	1.67	30.5	CP001876	PRJNA159531
Cje11	Campylobacter jejuni 32488	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales; Campylobacteraceae; Campylobacter.	5.14	45.34	CP006006	PRJNA212977
Cje16	Campylobacter jejuni subsp. jejuni 81-176	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales; Campylobacteraceae; Campylobacter.	1.7	30.46	CP000538	PRJNA58503
Cje17	Campylobacter jejuni subsp. jejuni ICDCCJ07001	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales; Campylobacteraceae; Campylobacter.	1.71	30.55	CP002029	PRJNA61249
Cje14	Campylobacter jejuni subsp. jejuni 81116	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales; Campylobacteraceae; Campylobacter.	1.63	30.50	CP000814	PRJNA58771
Cje15	Corynebacterium jeikeium K411 K411 = NCTC 11915	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Corynebacterineae; Corynebacteriaceae; Corynebacterium.	2.48	61.36	CR931997	PRJNA58399
Mae1	Methanococcus aeolicus Nankai-3	Archaea; Euryarchaeota; Methanococci; Methanococcales; Methanococcaceae; Methanococcus.	1.57	30.00	CP000743	PRJNA58823
Mae0	Microcystis aeruginosa NIES-843	Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales; Microcystis.	5.84	42.30	AP009552	PRJNA59101
Mae3	Micavibrio aeruginosavorus ARL-13	Bacteria; Proteobacteria; Alphaproteobacteria; Micavibrio.	2.48	54.70	CP002382	PRJNA73585
Mae2	Micavibrio aeruginosavorus EPB	Bacteria; Proteobacteria; Alphaproteobacteria; Micavibrio.	2.46	55.00	CP003538	PRJNA194120
Lmo12	Listeria monocytogenes HCC23	Bacteria; Firmicutes; Bacilli; Bacillales; Listeriaceae; Listeria.	2.98	38.20	CP001175	PRJNA59203
Lmo13	Listeria monocytogenes J1816	Bacteria; Firmicutes; Bacilli; Bacillales; Listeriaceae; Listeria.	2.95	38.00	CP006046	PRJNA179734
Bga0	Borrelia garinii PBi	Bacteria; Spirochaetes; Spirochaetales; Spirochaetaceae; Borrelia; Borrelia burgdorferi group.	0.99	28.12	CP000013	PRJNA58125
Bga1	Borrelia garinii BgVir	Bacteria; Spirochaetes; Spirochaetales; Spirochaetaceae; Borrelia; Borrelia burgdorferi group.	0.99	28.23	CP003151	PRJNA162165
Lmo16	Listeria monocytogenes La111	Bacteria; Firmicutes; Bacilli; Bacillales; Listeriaceae; Listeria.	2.78	38.10	HE999704	PRJNA193768
Lmo17	Listeria monocytogenes SLCC2372	Bacteria; Firmicutes; Bacilli; Bacillales; Listeriaceae; Listeria.	3.02	37.96	FR733648	PRJEA174872
Lmo14	Listeria monocytogenes SLCC7179	Bacteria; Firmicutes; Bacilli; Bacillales; Listeriaceae; Listeria.	2.88	38.00	FR733650	PRJEA175107
Lmo15	Listeria monocytogenes C1-387	Bacteria; Firmicutes; Bacilli; Bacillales; Listeriaceae; Listeria.	5.14	45.34	CP006591	PRJNA212977
Mle0	Mycoplasma leachii PG50	Bacteria; Tenericutes; Mollicutes; Mycoplasmataceae; Mycoplasma.	1.01	23.80	CP002108	PRJNA60849
Mle1	Mycobacterium leprae Br4923	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium.	3.27	57.80	FM211192	PRJNA59293
Lmo18	Listeria monocytogenes serotype 4b str. LL195	Bacteria; Firmicutes; Bacilli; Bacillales; Listeriaceae; Listeria.	2.9	38.00	HF558398	PRJNA182103
Lmo19	Listeria monocytogenes J0161	Bacteria; Firmicutes; Bacilli; Bacillales; Listeriaceae; Listeria.	3.0	37.90	CP002001	PRJNA54459
Ebi0	Erwinia billingiae Eb661	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Erwinia.	5.37	55.04	FP236843	PRJNA50547
Str0	Salinispora tropica CNB-440	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Micromonosporineae; Micromonosporaceae; Salinispora.	5.18	69.50	CP000667	PRJNA58565
Btr0	Bibersteinia trehalosi USDA-ARS-USMARC-192	Bacteria; Proteobacteria; Gammaproteobacteria; Pasteurellales; Pasteurellaceae; Bibersteinia.	2.41	41.00	CP003745	PRJNA193709
Btr1	Bartonella tribocorum CIP 105476 type strain:506 = CIP 105476	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Bartonellaceae; Bartonella.	2.64	38.87	AM260525	PRJNA59129
SPA0	Streptomyces sp. PAMC26508	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Streptomycineae; Streptomycetaceae; Streptomyces.	7.63	71.06	CP003990	PRJNA197217
Gan0	Gallibacterium anatis UMN179	Bacteria; Proteobacteria; Gammaproteobacteria; Pasteurellales; Pasteurellaceae; Gallibacterium.	2.69	39.89	CP002667	PRJNA66567
Bco0	Bacillus coagulans 2-6	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus.	3.07	47.30	CP002472	PRJNA68053
Bam2	Bacillus amyloliquefaciens subsp. plantarum UCMB5033 UCMB-5033	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus.	4.07	46.20	HG328253	PRJNA215237
Fsu0	Fibrobacter succinogenes subsp. succinogenes S85	Bacteria; Fibrobacteres; Fibrobacterales; Fibrobacteraceae; Fibrobacter.	3.84	48.10	CP002158,CP001792	PRJNA41169
Rsa0	Renibacterium salmoninarum ATCC 33209	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Micrococcineae; Micrococcaceae; Renibacterium.	3.16	56.30	CP000910	PRJNA58899
Ppu10	Pseudomonas putida S16	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas.	5.98	62.30	CP002870	PRJNA68747
Tba0	Thermococcus barophilus MP	Archaea; Euryarchaeota; Thermococci; Thermococcales; Thermococcaceae; Thermococcus.	2.06	41.71	CP002372	PRJNA54733
Ckr0	Corynebacterium kroppenstedtii DSM 44385	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Corynebacterineae; Corynebacteriaceae; Corynebacterium.	2.45	57.50	CP001620	PRJNA59411
Ckr1	Caldicellulosiruptor kristjanssonii I77R1B	Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacterales Family III. Incertae Sedis; Caldicellulosiruptor.	2.8	36.1	CP002326	PRJNA60393
Ckr2	Caldicellulosiruptor kronotskyensis 2002	Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacterales Family III. Incertae Sedis; Caldicellulosiruptor.	2.84	35.10	CP002330	PRJNA60491
Ral0	Ruminococcus albus 7 = DSM 20455	Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcus.	4.48	43.61	CP002403	PRJNA51721
Wgl1	Wigglesworthia glossinidia endosymbiont of Glossina morsitans morsitans (Yale colony)	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Wigglesworthia.	0.72	25.20	CP003315	PRJNA88075
Rso0	Ralstonia solanacearum Po82	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia.	5.43	66.64	CP002819	PRJNA162133
Rso1	Ralstonia solanacearum PSI07	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia.	5.61	66.29	FP885906	PRJNA50539
Rso2	Ralstonia solanacearum GMI1000	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia.	5.81	66.96	AL646052	PRJNA57593
Bsa1	Blastococcus saxobsidens DD2	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Frankineae; Geodermatophilaceae; Blastococcus.	4.88	72.90	FO117623	PRJNA89391
Bph2	Burkholderia phymatum STM815	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia.	8.68	62.28	CP001043,CP001044	PRJNA58699
Bph0	Burkholderia phytofirmans PsJN	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia.	8.21	62.32	CP001052,CP001053	PRJNA58729
Bph1	Burkholderia phenoliruptrix BR3459a	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia.	7.65	63.12	CP003863,CP003864	PRJNA176370
Mge2	Mycoplasma genitalium M6282	Bacteria; Tenericutes; Mollicutes; Mycoplasmataceae; Mycoplasma.	0.58	31.70	CP003771	PRJNA173371
Iva0	Isoptericola variabilis 225	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Micrococcineae; Promicromonosporaceae; Isoptericola.	3.31	73.90	CP002810	PRJNA67501
Bpi1	Brachyspira pilosicoli 95/1000	Bacteria; Spirochaetes; Spirochaetales; Brachyspiraceae; Brachyspira.	2.59	27.90	CP002025	PRJNA50609
Ban15	Bifidobacterium animalis subsp. lactis BB-12	Bacteria; Actinobacteria; Actinobacteridae; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium.	1.94	60.50	CP001853	PRJNA158871
Ban14	Bacillus anthracis str. 'Ames Ancestor'	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group.	5.5	35.26	AE017334	PRJNA58083
